Date,Region,Service_Line,Industry,Revenue,Cost,Profit,Quarter
2024-09-08,APAC,Risk Advisory,Government,57342,32266,25075,Q3-2024
2025-02-14,APAC,Audit Services,Energy,30066,24583,5483,Q1-2025
2024-10-07,LATAM,Strategy Consulting,Retail,41698,15320,26377,Q4-2024
2024-02-13,Europe,Strategy Consulting,Government,71118,25906,45211,Q1-2024
2024-03-14,LATAM,Strategy Consulting,Finance,13260,6100,7159,Q1-2024
2025-06-14,LATAM,Audit Services,Energy,23423,20605,2818,Q2-2025
2025-11-10,North America,Audit Services,Finance,56864,45801,11063,Q4-2025
2025-01-02,North America,Tech Implementation,Healthcare,26417,17701,8715,Q1-2025
2025-04-13,Europe,Audit Services,Government,30892,23310,7581,Q2-2025
2024-06-17,APAC,Risk Advisory,Government,34534,19197,15336,Q2-2024
2024-06-22,APAC,Risk Advisory,Government,18851,13199,5651,Q2-2024
2024-10-11,Europe,Risk Advisory,Finance,79220,44185,35034,Q4-2024
2024-01-26,North America,Strategy Consulting,Energy,105136,49872,55263,Q1-2024
2024-04-18,LATAM,Strategy Consulting,Finance,113341,55910,57430,Q2-2024
2024-09-08,APAC,Tech Implementation,Government,29358,19421,9936,Q3-2024
2024-05-18,North America,Risk Advisory,Retail,38610,24995,13614,Q2-2024
2025-02-01,LATAM,Audit Services,Energy,33109,28219,4890,Q1-2025
2025-12-25,LATAM,Risk Advisory,Finance,28900,17488,11411,Q4-2025
2025-01-18,Europe,Risk Advisory,Finance,29362,20708,8653,Q1-2025
2025-09-30,APAC,Tech Implementation,Retail,66079,43728,22350,Q3-2025
2025-01-07,LATAM,Tech Implementation,Finance,38236,26298,11937,Q1-2025
2024-12-16,APAC,Tech Implementation,Healthcare,59868,44535,15332,Q4-2024
2024-07-04,Europe,Strategy Consulting,Government,26403,12182,14220,Q3-2024
2025-09-21,APAC,Audit Services,Energy,57436,44867,12568,Q3-2025
2025-02-07,APAC,Audit Services,Healthcare,5684,4597,1086,Q1-2025
2025-02-23,North America,Tech Implementation,Energy,14208,7924,6283,Q1-2025
2024-03-24,North America,Strategy Consulting,Healthcare,115027,56745,58282,Q1-2024
2024-11-10,Europe,Tech Implementation,Healthcare,72334,44699,27634,Q4-2024
2025-05-03,APAC,Strategy Consulting,Finance,40665,16680,23984,Q2-2025
2024-11-13,Europe,Tech Implementation,Energy,27216,15901,11314,Q4-2024
2024-03-28,APAC,Audit Services,Retail,39380,30042,9338,Q1-2024
2025-03-14,LATAM,Risk Advisory,Government,47552,26945,20606,Q1-2025
2024-08-25,North America,Risk Advisory,Government,50130,35279,14850,Q3-2024
2025-09-05,Europe,Risk Advisory,Healthcare,49953,32950,17002,Q3-2025
2025-12-24,APAC,Tech Implementation,Healthcare,64124,47490,16633,Q4-2025
2024-09-25,APAC,Risk Advisory,Finance,58256,43538,14717,Q3-2024
2025-04-14,Europe,Tech Implementation,Retail,70436,45195,25240,Q2-2025
2024-11-15,Europe,Risk Advisory,Healthcare,30920,22186,8733,Q4-2024
2024-01-17,North America,Tech Implementation,Finance,21104,11885,9218,Q1-2024
2024-04-03,APAC,Risk Advisory,Healthcare,50355,34386,15968,Q2-2024
2025-03-23,APAC,Strategy Consulting,Government,112486,53633,58853,Q1-2025
2024-08-29,Europe,Audit Services,Healthcare,8671,6661,2009,Q3-2024
2024-09-27,Europe,Strategy Consulting,Government,117270,49287,67982,Q3-2024
2024-03-07,APAC,Strategy Consulting,Energy,12873,4740,8132,Q1-2024
2024-06-20,Europe,Risk Advisory,Finance,67049,42308,24740,Q2-2024
2024-02-24,LATAM,Tech Implementation,Retail,55479,34543,20935,Q1-2024
2024-07-11,LATAM,Strategy Consulting,Retail,89563,41682,47880,Q3-2024
2025-03-07,APAC,Audit Services,Healthcare,20076,17574,2501,Q1-2025
2024-09-20,North America,Strategy Consulting,Government,70234,32722,37512,Q3-2024
2024-08-27,North America,Tech Implementation,Energy,19638,11332,8305,Q3-2024
2024-11-18,North America,Strategy Consulting,Energy,49465,18271,31193,Q4-2024
2024-06-04,LATAM,Strategy Consulting,Retail,50980,19657,31322,Q2-2024
2025-09-17,LATAM,Audit Services,Government,12098,10515,1583,Q3-2025
2024-08-25,Europe,Risk Advisory,Healthcare,28464,20721,7742,Q3-2024
2025-10-07,LATAM,Strategy Consulting,Energy,97380,36062,61317,Q4-2025
2024-09-13,North America,Audit Services,Government,29339,24607,4732,Q3-2024
2024-07-24,Europe,Risk Advisory,Healthcare,48993,35943,13049,Q3-2024
2025-05-28,North America,Audit Services,Retail,16122,12801,3321,Q2-2025
2025-02-09,North America,Audit Services,Healthcare,59533,45445,14088,Q1-2025
2025-07-17,LATAM,Risk Advisory,Finance,6989,4950,2038,Q3-2025
2024-03-07,North America,Risk Advisory,Retail,21030,12758,8271,Q1-2024
2025-10-17,Europe,Strategy Consulting,Finance,17709,7516,10192,Q4-2025
2025-03-06,APAC,Strategy Consulting,Finance,105483,35918,69564,Q1-2025
2025-02-09,APAC,Audit Services,Retail,60903,45809,15093,Q1-2025
2024-11-14,North America,Risk Advisory,Retail,64194,42640,21553,Q4-2024
2025-08-22,Europe,Risk Advisory,Finance,70780,49000,21779,Q3-2025
2024-09-24,Europe,Tech Implementation,Finance,21853,12562,9290,Q3-2024
2025-01-24,North America,Audit Services,Energy,45682,34685,10997,Q1-2025
